HFPHX,united states|arizona|Phoenix Sky Harbor Int'l Airport - PHX|NA|PHOENIX AP|Phoenix Airport F&B|Phoenix Sky Harbor Int'l Airport - PHX|Phoenix Sky Harbor International Airport|0|NA|NA|PHX|33.43429947|-112.012001
HFPIT,united states|pennsylvania|Pittsburgh Int'l AP   ( PIT )|NA|NA|NA|NA|NA|0|NA|NA|NA|39.027677|-77.139111
HFRDU,kiosks / servers / middleware devices|popeye's kiosks / servers|NA|NA|RALEIGH DURHAM AP|Raleigh Durham Airport|Raleigh-Durham International Airport|Raleigh Durham International Airport|0|NA|NA|RDU|35.87760162|-78.78749847
HFRDU,united states|north carolina|Raleigh-Durham International Airport|NA|RALEIGH DURHAM AP|Raleigh Durham Airport|Raleigh-Durham International Airport|Raleigh Durham International Airport|0|NA|NA|RDU|35.87760162|-78.78749847
HFRSW,kiosks / servers / middleware devices|bk-kiosks / bk-qik servers|NA|NA|FORT MYERS AP|Fort Myers F&B|Ft. Myers Int'l AP - RSW|Southwest Florida International Airport|0|NA|NA|RSW|26.53619957|-81.75520325
HFRSW,united states|florida|Ft. Myers Int'l AP - RSW|NA|FORT MYERS AP|Fort Myers F&B|Ft. Myers Int'l AP - RSW|Southwest Florida International Airport|0|NA|NA|RSW|26.53619957|-81.75520325
HFSJC,united states|california|San Jose AP|NA|SAN JOSE AP|San Jose Airport F&B|San Jose AP|Norman Y. Mineta San Jose International Airport|0|NA|NA|SJC|37.362598|-121.929001
HFSTL,united states|missouri|St. Louis Airport  (STL)|NA|NA|NA|NA|NA|0|NA|NA|NA|39.027677|-77.139111
HFTOR,kiosks / servers / middleware devices|smash burger kiosks / servers|NA|NA|NA|Toronto Airport AA|Toronto Int'l Airport|Mont Joli Airport|0|NA|NA|YYZ|48.60860062|-68.20809937
HFYEG,canada|edmonton airport|Edmonton Airport|NA|NA|Edmonton Airport|Edmonton Airport|Dawson Creek Airport|0|NA|NA|YEG|55.74229813|-120.1829987
HFYVR,canada|vancouver int'l airport  ( yvr )|Vancouver Int'l Airport  ( YVR )|NA|NA|NA|NA|NA|0|NA|NA|NA|39.027677|-77.139111
HMSCA,canada|calgary airport  ( yyc )|Calgary Airport  ( YYC )|NA|NA|NA|NA|NA|0|NA|NA|NA|39.027677|-77.139111
HMSCA,canada|edmonton airport|Edmonton Airport|NA|NA|Edmonton Airport|Edmonton Airport|Dawson Creek Airport|0|NA|NA|YEG|55.74229813|-120.1829987
HMSCA,canada|halifax airport|Halifax Airport|NA|NA|Halifax Airport|Halifax Airport|Hay River / Merlyn Carter Airport|0|NA|NA|YHZ|60.83969879|-115.7829971
HMSCA,canada|toronto  |Toronto Int'l Airport ( YYZ )|NA|NA|NA|NA|NA|0|NA|NA|NA|39.027677|-77.139111
HMSCA,canada|vancouver int'l airport  ( yvr )|Vancouver Int'l Airport  ( YVR )|NA|NA|NA|NA|NA|0|NA|NA|NA|39.027677|-77.139111
TPALH,united states|new jersey|Alexander Hamilton|NA|NA|NA|NA|NA|0|NA|NA|NA|39.027677|-77.139111
TPALT,united states|pennsylvania|Allentown TP|NA|4PA ALLENTOWN TP|PA Allentown Travel Plaza|Allentown TP|Allentown Travel Plaza|0|NA|NA|#N/D|40.574366|-75.557904
TPARD,kiosks / servers / middleware devices|bk-kiosks / bk-qik servers|NA|NA|4NY ARDSLEY TP|NY Ardsley Travel Plaza|Ardsley TP|Ardsley Travel Plaza|0|NA|NA|NA|40.984948|-73.852855
TPARD,united states|new york|Ardsley TP - Possibly SOLD to Apple Green|NA|NA|NA|NA|NA|0|NA|NA|NA|39.027677|-77.139111
TPATC,kiosks / servers / middleware devices|bk-kiosks / bk-qik servers|NA|NA|4GS ATLANTIC TP|NJ Atlantic City Expressway|Atlantic TP|Atlantic Plaza Service Area|0|NA|NA|NA|39.470889|-74.528839
TPATC,kiosks / servers / middleware devices|qik-srv middleware servers|NA|NA|NA|NA|NA|NA|0|NA|NA|NA|39.027677|-77.139111
TPATC,united states|new jersey|Atlantic TP|NA|4GS ATLANTIC TP|NJ Atlantic City Expressway|Atlantic TP|Atlantic Plaza Service Area|0|NA|NA|#N/D|39.470889|-74.528839
TPBEC,kiosks / servers / middleware devices|bk-kiosks / bk-qik servers|NA|NA|4WV BECKLEY TP|WV Beckley Travel Plaza|Beckley TP|Beckley Travel Plaza|0|NA|NA|NA|37.802294|-81.212804
TPBEC,united states|west virginia|Beckley TP|NA|4WV BECKLEY TP|WV Beckley Travel Plaza|Beckley TP|Beckley Travel Plaza|0|NA|NA|#N/D|37.802294|-81.212804
TPBLM,united states|pennsylvania|Blue Mountain Turnpike|NA|4PA BLUE MOUNTAIN TP|PA Blue Mountain Travel Plaza|Blue Mountain Turnpike|Blue Mountain Travel Plaza|0|NA|NA|#N/D|40.16579|-77.597041
TPBLS,united states|west virginia|Bluestone TP|NA|4WV BLUESTONE TP|WV Bluestone Travel Plaza|Bluestone TP|Bluestone Travel Plaza|0|NA|NA|#N/D|37.474711|-81.06791
TPBNV,united states|pennsylvania|Bowmansville Turnpike|NA|4PA BOWMANSVILLE TP|Bowmansville Turnpike|Bowmansville Turnpike|Bowmansville Travel Plaza|0|NA|NA|#N/D|40.202283|-76.015731
TPBSV,kiosks / servers / middleware devices|bk-kiosks / bk-qik servers|NA|NA|4PA BOWMANSVILLE TP|Bowmansville Turnpike|Bowmansville Turnpike|Bowmansville Travel Plaza|0|NA|NA|NA|40.202283|-76.015731
TPBSV,united states|pennsylvania|Bowmansville Turnpike|NA|4PA BOWMANSVILLE TP|Bowmansville Turnpike|Bowmansville Turnpike|Bowmansville Travel Plaza|0|NA|NA|#N/D|40.202283|-76.015731
TPCHE,united states|new jersey|Cheesequake TP|NA|4GS CHEESEQUAKE TP|NJ Cheesequake|Cheesequake TP|Cheesequake Travel Plaza|0|NA|NA|#N/D|40.466364|-74.289297
TPCLB,kiosks / servers / middleware devices|bk-kiosks / bk-qik servers|NA|NA|4NJ CLARA BARTON TP|NJ Clara Barton|Clara Barton TP|Clara Barton Travel Plaza|0|NA|NA|NA|39.698026|-75.396577
TPCLB,united states|new jersey|Clara Barton TP|NA|4NJ CLARA BARTON TP|NJ Clara Barton|Clara Barton TP|Clara Barton Travel Plaza|0|NA|NA|#N/D|39.698026|-75.396577
TPCLS,kiosks / servers / middleware devices|bk-kiosks / bk-qik servers|NA|NA|4NY CLIFTON SPRINGS TP|NY Clifton Springs Travel Pl|Clifton Springs TP|Clifton Springs Travel Plaza|0|NA|NA|NA|42.972737|-77.173462
TPCLS,united states|new york|Clifton Springs TP|NA|4NY CLIFTON SPRINGS TP|NY Clifton Springs Travel Pl|Clifton Springs TP|Clifton Springs Travel Plaza|0|NA|NA|#N/D|42.972737|-77.173462
TPCPR,united states|ohio|Commodore Perry TP|NA|4OH COMMODORE PERRY TP|Commodore Perry TP|Commodore Perry TP|Commodore Perry Service Plaza|0|NA|NA|#N/D|41.367876|-82.958964
TPCUM,kiosks / servers / middleware devices|bk-kiosks / bk-qik servers|NA|NA|4ME CUMBERLAND TP|ME Cumberland|Cumberland TP|Cumberland Service Plaza|0|NA|NA|NA|43.817841|-70.319857
TPCUM,united states|maine|Cumberland TP|NA|4ME CUMBERLAND TP|ME Cumberland|Cumberland TP|Cumberland Service Plaza|0|NA|NA|#N/D|43.817841|-70.319857
TPCVY,united states|pennsylvania|Plainfield-Cumberland Valley|NA|4PA CUMBERLAND VALLEY TP|Plainfield-Cumberland Valley|Plainfield-Cumberland Valley|Cumberland Valley Service Plaza|0|NA|NA|#N/D|40.20528|-77.287775
TPDEL,kiosks / servers / middleware devices|bk-kiosks / bk-qik servers|NA|NA|4DE DELAWARE HOUSE TP|DE Delaware Turnpike|Delaware House|Delaware House Travel Plaza|0|NA|NA|NA|39.662343|-75.691092
TPDEL,united states|delaware|Delaware House|NA|4DE DELAWARE HOUSE TP|DE Delaware Turnpike|Delaware House|Delaware House Travel Plaza|0|NA|NA|#N/D|39.662343|-75.691092
TPERI,united states|ohio|Erie Island TP|NA|4OH ERIE ISLANDS TP|OH Erie Islands Travel Plaza|Erie Island TP|Erie Islands Travel Plaza|0|NA|NA|#N/D|41.369177|-82.956264
TPERP,kiosks / servers / middleware devices|popeye's kiosks / servers|NA|NA|4IN ERNIE PYLE TP|IN Ernie Pyle|Ernie Pyle TP|Ernie Pyle Travel Plaza|0|NA|NA|NA|41.746952|-85.328544
TPERP,united states|indiana|Ernie Pyle TP|NA|4IN ERNIE PYLE TP|IN Ernie Pyle|Ernie Pyle TP|Ernie Pyle Travel Plaza|0|NA|NA|#N/D|41.746952|-85.328544
