HFBOS-Boston,united states|massachusetts|Boston - Logan Int'l AP - BOS|NA|BOSTON AP|Boston Airport AA|Boston - Logan Int'l AP - BOS|General Edward Lawrence Logan International Airport|50|sdwan|AirPort|BOS|42.36429977|-71.00520325
HFBOS-ML2300.127-MainOffice-TermB,united states|massachusetts|Boston - Logan Int'l AP - BOS|NA|BOSTON AP|Boston Airport AA|Boston - Logan Int'l AP - BOS|General Edward Lawrence Logan International Airport|0|actelis|AirPort|BOS|42.36429977|-71.00520325
HFBOS-ML624i.130-A18-STBX-Annex,united states|massachusetts|Boston - Logan Int'l AP - BOS|NA|BOSTON AP|Boston Airport AA|Boston - Logan Int'l AP - BOS|General Edward Lawrence Logan International Airport|0|actelis|AirPort|BOS|42.36429977|-71.00520325
HFBOS-ML624i.131-STBX-CE-Connector,united states|massachusetts|Boston - Logan Int'l AP - BOS|NA|BOSTON AP|Boston Airport AA|Boston - Logan Int'l AP - BOS|General Edward Lawrence Logan International Airport|0|actelis|AirPort|BOS|42.36429977|-71.00520325
HFBOS-ML624i.135-TermE-DurginPark,united states|massachusetts|Boston - Logan Int'l AP - BOS|NA|BOSTON AP|Boston Airport AA|Boston - Logan Int'l AP - BOS|General Edward Lawrence Logan International Airport|0|actelis|AirPort|BOS|42.36429977|-71.00520325
HFBOS-ML624i.140-STBX-B11,united states|massachusetts|Boston - Logan Int'l AP - BOS|NA|BOSTON AP|Boston Airport AA|Boston - Logan Int'l AP - BOS|General Edward Lawrence Logan International Airport|0|actelis|AirPort|BOS|42.36429977|-71.00520325
HFBOS-WH-WG,united states|massachusetts|Boston Warehouse|NA|BOSTON AP|Boston Warehouse (No CB)|Boston Warehouse|General Edward Lawrence Logan International Airport|100|firewalls|Corporate|#N/D|42.36429977|-71.00520325
hfbsr_wh_RTR2911,united states|massachusetts|Boston Warehouse|NA|BOSTON AP|Boston Warehouse (No CB)|Boston Warehouse|General Edward Lawrence Logan International Airport|35|router_mpls|Corporate|#N/D|42.36429977|-71.00520325
HFBSR_WH-BostonWarehouse,united states|massachusetts|Boston Warehouse|NA|BOSTON AP|Boston Warehouse (No CB)|Boston Warehouse|General Edward Lawrence Logan International Airport|50|sdwan|Corporate|#N/D|42.36429977|-71.00520325
hfchw_RTR2911,united states|north carolina|Charlotte AP - Remote Office|NA|CHARLOTTE AP|Charlotte AP - Remote Office|Charlotte AP - Remote Office|Charlotte Douglas International Airport|35|router_mpls|Corporate|JFK|35.2140007|-80.94309998
HFCHW_WG15_WestOffice,united states|north carolina|Charlotte AP - Remote Office|NA|CHARLOTTE AP|Charlotte AP - Remote Office|Charlotte AP - Remote Office|Charlotte Douglas International Airport|100|firewalls|Corporate|JFK|35.2140007|-80.94309998
HFCHW-2930F.2-RemoteOffice,united states|north carolina|Charlotte AP - Remote Office|NA|CHARLOTTE AP|Charlotte AP - Remote Office|Charlotte AP - Remote Office|Charlotte Douglas International Airport|100|core_switch|Corporate|JFK|35.2140007|-80.94309998
